config_name,arm,n_reps,size_power_bench,size_power_s0,size_power_b1,size_power_ucm,size_power_js,T_mean,ucm_rho_mean,js_asym_mean,rel_err_ols_mean,tau_ols_mean,tau_ols_err_mean,tau_ols_sign_ok,tau_trim_onatski_mean,tau_trim_onatski_err_mean,tau_trim_onatski_sign_ok,tau_ridge1_mean,tau_ridge1_err_mean,tau_ridge1_sign_ok
A_main,align_top,200,0.05,1.0,0.98,0.95,0.96,1.1231882225992935,0.35548491993901865,0.3999971444781039,13.640568333184133,,,,,,,,,
A_main,align_weak,200,0.865,1.0,1.0,0.995,1.0,3.3112970954952896,0.4224210361971943,0.4058655844550333,13.477624390483665,,,,,,,,,
A_main,hetero_eps,200,0.56,1.0,1.0,1.0,1.0,2.3622554698124376,0.3913341128967744,0.3980413866339304,13.48989496784698,,,,,,,,,
A_main,rinj_minus,200,0.055,1.0,0.975,0.885,0.99,1.0388050190162763,0.36570677634178805,0.41544585649543775,13.627737678440651,,,,,,,,,
A_main,rinj_plus,200,0.435,1.0,0.99,0.99,1.0,2.100723522975136,0.3879142421813754,0.4109879110529237,13.41509757088144,,,,,,,,,
A_sub,hetero_eps,200,0.525,1.0,0.965,0.065,0.965,2.1020059842564423,0.0020798297992136007,0.10532011662001992,9.94392568867799,,,,,,,,,
A_sub,rinj_plus,200,0.29,1.0,0.99,0.025,0.99,1.5932992174819873,0.00022437663013395926,0.08920155820551624,9.921782742022968,,,,,,,,,
B_main,hetero_eps,200,0.47,1.0,0.955,0.71,0.99,2.030751776799385,0.10557411718496203,0.1743031670131602,192.07778310700414,,,,,,,,,
B_main,rinj_plus,200,0.335,1.0,0.85,0.47,0.995,1.5118378542557833,0.05443242413801618,0.162919926255042,182.53178858656,,,,,,,,,
B_wide,hetero_eps,200,0.555,1.0,0.945,0.78,1.0,2.1055071477374203,0.16998485913093295,0.19031490562973857,1.2773672226900397,,,,,,,,,
B_wide,rinj_plus,200,0.32,1.0,0.9,0.615,1.0,1.5398940165649595,0.08321958390166731,0.1670501907660408,1.2890732796058912,,,,,,,,,
C_main,hetero_eps,200,0.485,1.0,0.995,0.9,1.0,1.9088344202738738,0.22131440168424837,0.2572467480712684,254797.7048316686,,,,,,,,,
C_main,rinj_plus,200,0.275,1.0,0.87,0.645,1.0,1.332298601128173,0.12612756548868048,0.3201557122185011,258299.35315489507,,,,,,,,,
C_wide,hetero_eps,200,0.58,1.0,0.97,0.59,1.0,1.9864683576191533,0.09987146114834923,0.28585270940299035,392.6298584808594,,,,,,,,,
C_wide,rinj_plus,200,0.35,1.0,0.915,0.405,1.0,1.5261413550247758,0.06838210567318864,0.32549432527054833,383.53454892756895,,,,,,,,,
