config_name,method,size_perm,size_splithalf,pow_half,pow_1,pow_2,ucm_rho_spearman_g,js_asym_spearman_g
A_main,S2-bench alarm,0.0,0.0,0.1425,0.48,0.9975,0.39999999999999997,-1.0
A_main,UCM-rho permboot,0.05,0.9166666666666666,0.975,0.99,1.0,0.39999999999999997,-1.0
A_main,JS-asym permboot,0.05,0.9766666666666667,0.9925,0.9975,1.0,0.39999999999999997,-1.0
A_main,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,0.39999999999999997,-1.0
A_main,Partial F (B1),0.0775,0.9266666666666666,0.995,0.9975,1.0,0.39999999999999997,-1.0
A_sub,S2-bench alarm,0.0,0.0,0.1575,0.5425,0.99,1.0,1.0
A_sub,UCM-rho permboot,0.0,0.07333333333333333,0.005,0.0525,0.5125,1.0,1.0
A_sub,JS-asym permboot,0.05,0.6133333333333333,0.755,0.93,1.0,1.0,1.0
A_sub,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,1.0,1.0
A_sub,Partial F (B1),0.0475,0.24666666666666667,0.73,0.945,1.0,1.0,1.0
B_main,S2-bench alarm,0.0,0.0,0.1625,0.5525,0.9825,1.0,1.0
B_main,UCM-rho permboot,0.0,0.5633333333333334,0.37,0.7125,0.9825,1.0,1.0
B_main,JS-asym permboot,0.05,0.9533333333333334,0.97,0.9925,1.0,1.0,1.0
B_main,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,1.0,1.0
B_main,Partial F (B1),0.0525,0.62,0.845,0.9575,1.0,1.0,1.0
B_wide,S2-bench alarm,0.0,0.0,0.155,0.5225,0.975,1.0,1.0
B_wide,UCM-rho permboot,0.0,0.2833333333333333,0.4425,0.81,0.9875,1.0,1.0
B_wide,JS-asym permboot,0.05,0.9166666666666666,0.98,0.9925,1.0,1.0,1.0
B_wide,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,1.0,1.0
B_wide,Partial F (B1),0.0375,0.5966666666666667,0.865,0.965,1.0,1.0,1.0
C_main,S2-bench alarm,0.0,0.0,0.19,0.515,0.9775,1.0,1.0
C_main,UCM-rho permboot,0.0,0.7333333333333333,0.675,0.8675,0.9975,1.0,1.0
C_main,JS-asym permboot,0.05,0.9966666666666667,1.0,1.0,1.0,1.0,1.0
C_main,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,1.0,1.0
C_main,Partial F (B1),0.0575,0.7566666666666667,0.9175,0.975,1.0,1.0,1.0
C_wide,S2-bench alarm,0.0,0.0033333333333333335,0.205,0.5475,0.995,1.0,1.0
C_wide,UCM-rho permboot,0.0,0.15666666666666668,0.33,0.5775,0.875,1.0,1.0
C_wide,JS-asym permboot,0.05,0.9933333333333333,1.0,0.995,1.0,1.0,1.0
C_wide,Scree TW99 (S0),1.0,1.0,1.0,1.0,1.0,1.0,1.0
C_wide,Partial F (B1),0.0475,0.7733333333333333,0.9275,0.9775,1.0,1.0,1.0
