c,profile,n,theta,r,eb_conf,best_base,ols_conf
0.2,sub,500,0.5236,1,0.2691,0.0661,0.3352
0.2,sub,500,1.5708,1,0.0389,0.0341,0.0355
0.2,mixed,500,0.5236,1,0.0788,0.0742,0.4342
0.2,mixed,500,1.5708,1,0.0351,0.0313,0.0349
0.2,sub,500,0.5236,5,0.327,0.0769,0.3935
0.2,sub,500,1.5708,5,0.3264,0.0727,0.3934
0.2,mixed,500,0.5236,5,0.1094,0.0769,0.4719
0.2,mixed,500,1.5708,5,0.3563,0.0683,0.385
0.2,sub,500,0.5236,25,0.3507,0.0627,0.3946
0.2,sub,500,1.5708,25,0.3402,0.0719,0.3888
0.2,mixed,500,0.5236,25,0.1651,0.0729,0.4739
0.2,mixed,500,1.5708,25,0.3469,0.0686,0.3898
0.8,sub,500,0.5236,1,0.384,0.0736,0.4466
0.8,sub,500,1.5708,1,0.1543,0.0528,0.1536
0.8,mixed,500,0.5236,1,0.1627,0.0737,0.4139
0.8,mixed,500,1.5708,1,0.1342,0.0535,0.1346
0.8,sub,500,0.5236,5,0.4238,0.0717,0.4906
0.8,sub,500,1.5708,5,0.4204,0.0707,0.4944
0.8,mixed,500,0.5236,5,0.1823,0.0735,0.477
0.8,mixed,500,1.5708,5,0.4713,0.0687,0.5084
0.8,sub,500,0.5236,25,0.4397,0.0728,0.4964
0.8,sub,500,1.5708,25,0.427,0.0709,0.4869
0.8,mixed,500,0.5236,25,0.2043,0.0714,0.476
0.8,mixed,500,1.5708,25,0.4444,0.0758,0.4931
2.0,sub,500,0.5236,1,0.1806,0.0,0.2736
2.0,sub,500,1.5708,1,0.0227,0.0,0.025
2.0,mixed,500,0.5236,1,0.0464,0.0,0.2881
2.0,mixed,500,1.5708,1,0.0241,0.0,0.0257
2.0,sub,500,0.5236,5,0.2049,0.0,0.3166
2.0,sub,500,1.5708,5,0.2031,0.0,0.3175
2.0,mixed,500,0.5236,5,0.0447,0.0,0.3289
2.0,mixed,500,1.5708,5,0.2604,0.0,0.3174
2.0,sub,500,0.5236,25,0.2053,0.0,0.3152
2.0,sub,500,1.5708,25,0.2056,0.0,0.3134
2.0,mixed,500,0.5236,25,0.0513,0.0,0.3266
2.0,mixed,500,1.5708,25,0.2224,0.0,0.3124
5.0,sub,500,0.5236,1,0.0607,0.0,0.1533
5.0,sub,500,1.5708,1,0.009,0.0,0.014
5.0,mixed,500,0.5236,1,0.0202,0.0,0.1929
5.0,mixed,500,1.5708,1,0.0097,0.0,0.0143
5.0,sub,500,0.5236,5,0.0658,0.0,0.176
5.0,sub,500,1.5708,5,0.0683,0.0,0.1759
5.0,mixed,500,0.5236,5,0.0199,0.0,0.2108
5.0,mixed,500,1.5708,5,0.0866,0.0,0.1757
5.0,sub,500,0.5236,25,0.0627,0.0,0.175
5.0,sub,500,1.5708,25,0.0587,0.0,0.1745
5.0,mixed,500,0.5236,25,0.0174,0.0,0.2109
5.0,mixed,500,1.5708,25,0.0649,0.0,0.1736
0.2,sub,2000,0.5236,1,0.277,0.0807,0.3349
0.2,sub,2000,1.5708,1,0.0462,0.0378,0.0424
0.2,mixed,2000,0.5236,1,0.0805,0.086,0.4309
0.2,mixed,2000,1.5708,1,0.0421,0.0361,0.04
0.2,sub,2000,0.5236,5,0.3275,0.0792,0.3913
0.2,sub,2000,1.5708,5,0.3247,0.0838,0.3904
0.2,mixed,2000,0.5236,5,0.0752,0.0799,0.4743
0.2,mixed,2000,1.5708,5,0.3609,0.0847,0.389
0.2,sub,2000,0.5236,25,0.3171,0.0872,0.3911
0.2,sub,2000,1.5708,25,0.3414,0.0885,0.3912
0.2,mixed,2000,0.5236,25,0.0882,0.0856,0.4736
0.2,mixed,2000,1.5708,25,0.3484,0.0824,0.3913
0.8,sub,2000,0.5236,1,0.3877,0.0853,0.4465
0.8,sub,2000,1.5708,1,0.1692,0.063,0.1689
0.8,mixed,2000,0.5236,1,0.1567,0.0856,0.4293
0.8,mixed,2000,1.5708,1,0.1677,0.0625,0.1674
0.8,sub,2000,0.5236,5,0.4275,0.0834,0.5028
0.8,sub,2000,1.5708,5,0.4225,0.0869,0.5077
0.8,mixed,2000,0.5236,5,0.1705,0.083,0.4894
0.8,mixed,2000,1.5708,5,0.4833,0.0836,0.5163
0.8,sub,2000,0.5236,25,0.447,0.0825,0.5136
0.8,sub,2000,1.5708,25,0.4434,0.0856,0.5086
0.8,mixed,2000,0.5236,25,0.1908,0.0804,0.4923
0.8,mixed,2000,1.5708,25,0.4611,0.0845,0.5134
2.0,sub,2000,0.5236,1,0.1874,0.0,0.2791
2.0,sub,2000,1.5708,1,0.0277,0.0,0.0306
2.0,mixed,2000,0.5236,1,0.0581,0.0,0.2881
2.0,mixed,2000,1.5708,1,0.0289,0.0,0.0305
2.0,sub,2000,0.5236,5,0.2093,0.0,0.3176
2.0,sub,2000,1.5708,5,0.2106,0.0,0.3202
2.0,mixed,2000,0.5236,5,0.0571,0.0,0.3303
2.0,mixed,2000,1.5708,5,0.2643,0.0,0.319
2.0,sub,2000,0.5236,25,0.2185,0.0,0.3192
2.0,sub,2000,1.5708,25,0.2068,0.0,0.3194
2.0,mixed,2000,0.5236,25,0.057,0.0,0.3289
2.0,mixed,2000,1.5708,25,0.2313,0.0,0.3202
5.0,sub,2000,0.5236,1,0.0635,0.0,0.1553
5.0,sub,2000,1.5708,1,0.0129,0.0,0.0194
5.0,mixed,2000,0.5236,1,0.0283,0.0,0.1931
5.0,mixed,2000,1.5708,1,0.014,0.0,0.0196
5.0,sub,2000,0.5236,5,0.0698,0.0,0.1784
5.0,sub,2000,1.5708,5,0.0704,0.0,0.1789
5.0,mixed,2000,0.5236,5,0.0285,0.0,0.213
5.0,mixed,2000,1.5708,5,0.087,0.0,0.179
5.0,sub,2000,0.5236,25,0.0703,0.0,0.1785
5.0,sub,2000,1.5708,25,0.066,0.0,0.1783
5.0,mixed,2000,0.5236,25,0.0262,0.0,0.2123
5.0,mixed,2000,1.5708,25,0.0702,0.0,0.1786
0.2,mixed,8000,0.5236,5,0.103,0.1085,0.4753
