c,profile,n,theta,nr_pass,half_cut,mse_cut_vs_best,best_baseline,mse_eb_minus_cv_over_best
0.2,mixed,500,0.5236,False,True,False,cevid_default,0.172
0.2,mixed,500,1.5708,False,False,False,ridge_cv,0.07
0.2,mixed,500,0.5236,False,True,False,ridge_cv,-0.066
0.2,mixed,500,1.5708,False,False,False,ridge_cv,-0.002
0.2,mixed,500,0.5236,False,True,False,ridge_cv,-0.22
0.2,mixed,500,1.5708,False,False,False,ridge_cv,-0.024
0.8,mixed,500,0.5236,False,True,False,ridge_cv,1.729
0.8,mixed,500,1.5708,False,False,False,ridge_cv,2.113
0.8,mixed,500,0.5236,False,True,False,ridge_cv,2.073
0.8,mixed,500,1.5708,False,False,False,ridge_cv,3.76
0.8,mixed,500,0.5236,False,True,False,ridge_cv,2.359
0.8,mixed,500,1.5708,False,False,False,ridge_cv,3.561
2.0,mixed,500,0.5236,False,True,False,pca_onatski,0.01
2.0,mixed,500,1.5708,False,False,False,pca_baing,0.395
2.0,mixed,500,0.5236,False,True,False,pca_onatski,0.033
2.0,mixed,500,1.5708,False,False,False,pca_onatski,0.852
2.0,mixed,500,0.5236,False,True,False,pca_onatski,0.214
2.0,mixed,500,1.5708,False,False,False,pca_onatski,0.689
5.0,mixed,500,0.5236,False,True,False,pca_onatski,-0.151
5.0,mixed,500,1.5708,False,False,False,pca_baing,-0.064
5.0,mixed,500,0.5236,False,True,False,pca_onatski,-0.198
5.0,mixed,500,1.5708,False,True,False,pca_onatski,-0.176
5.0,mixed,500,0.5236,False,True,False,pca_onatski,-0.198
5.0,mixed,500,1.5708,False,True,False,pca_onatski,-0.219
0.2,mixed,2000,0.5236,True,True,False,ridge_cv,0.888
0.2,mixed,2000,1.5708,False,False,False,ridge_cv,0.099
0.2,mixed,2000,0.5236,True,True,False,ridge_cv,0.526
0.2,mixed,2000,1.5708,False,False,False,ridge_cv,0.007
0.2,mixed,2000,0.5236,True,True,False,ridge_cv,0.194
0.2,mixed,2000,1.5708,False,False,False,ridge_cv,-0.018
0.8,mixed,2000,0.5236,False,True,False,ridge_cv,0.175
0.8,mixed,2000,1.5708,False,False,False,ridge_cv,2.108
0.8,mixed,2000,0.5236,False,True,False,ridge_cv,0.274
0.8,mixed,2000,1.5708,False,False,False,ridge_cv,3.737
0.8,mixed,2000,0.5236,False,True,False,ridge_cv,1.331
0.8,mixed,2000,1.5708,False,False,False,ridge_cv,3.652
2.0,mixed,2000,0.5236,False,True,False,ridge_cv,0.0
2.0,mixed,2000,1.5708,False,False,False,ridge_cv,0.586
2.0,mixed,2000,0.5236,False,True,False,ridge_cv,0.0
2.0,mixed,2000,1.5708,False,False,False,ridge_cv,1.102
2.0,mixed,2000,0.5236,False,True,False,ridge_cv,0.0
2.0,mixed,2000,1.5708,False,False,False,ridge_cv,1.007
5.0,mixed,2000,0.5236,False,True,False,pca_onatski,-0.151
5.0,mixed,2000,1.5708,False,False,False,pca_baing,-0.058
5.0,mixed,2000,0.5236,False,True,False,pca_onatski,-0.202
5.0,mixed,2000,1.5708,False,True,False,pca_onatski,-0.185
5.0,mixed,2000,0.5236,False,True,False,pca_onatski,-0.201
5.0,mixed,2000,1.5708,False,True,False,pca_onatski,-0.215
0.2,mixed,8000,0.5236,True,True,False,ridge_cv,0.675
