c,profile,g,g_pred,below_claimed_frontier,auc_gbm,mmd2_median_heur
0.2,sub,0.15,inf,True,0.845,
0.2,sub,0.4,inf,True,0.877,
0.2,sub,0.8,inf,True,0.959,
0.2,sub,1.6,inf,True,1.0,
0.2,sub,3.2,inf,True,1.0,
0.2,sub,0.15,inf,True,0.844,
0.2,sub,0.4,inf,True,0.858,
0.2,sub,0.8,inf,True,0.946,
0.2,sub,1.6,inf,True,0.996,
0.2,sub,3.2,inf,True,1.0,
0.2,mixed,0.15,0.411,True,0.875,
0.2,mixed,0.4,0.411,True,0.973,
0.2,mixed,0.8,0.411,False,1.0,
0.2,mixed,1.6,0.411,False,1.0,
0.2,mixed,3.2,0.411,False,1.0,
0.2,mixed,0.15,inf,True,0.85,
0.2,mixed,0.4,inf,True,0.863,
0.2,mixed,0.8,inf,True,0.945,
0.2,mixed,1.6,inf,True,0.998,
0.2,mixed,3.2,inf,True,1.0,
0.8,sub,0.15,inf,True,0.495,
0.8,sub,0.4,inf,True,0.577,
0.8,sub,0.8,inf,True,0.555,
0.8,sub,1.6,inf,True,0.633,
0.8,sub,3.2,inf,True,0.777,
0.8,sub,0.15,inf,True,0.52,
0.8,sub,0.4,inf,True,0.503,
0.8,sub,0.8,inf,True,0.573,
0.8,sub,1.6,inf,True,0.622,
0.8,sub,3.2,inf,True,0.737,
0.8,mixed,0.15,0.261,True,0.727,
0.8,mixed,0.4,0.261,False,0.998,
0.8,mixed,0.8,0.261,False,1.0,
0.8,mixed,1.6,0.261,False,1.0,
0.8,mixed,3.2,0.261,False,1.0,
0.8,mixed,0.15,inf,True,0.509,
0.8,mixed,0.4,inf,True,0.49,
0.8,mixed,0.8,inf,True,0.578,
0.8,mixed,1.6,inf,True,0.65,
0.8,mixed,3.2,inf,True,0.747,
