c,profile,theta,g,reps,supercritical_present,pow_S0,pow_S2_cal,pow_S1_cal,pow_B1,g_pred_S2,emp_power_S2
0.2,sub,0.5236,0.8,300,False,0.03,0.07333333333333333,0.03333333333333333,0.4,inf,0.07333333333333333
0.2,sub,1.5708,0.8,300,False,0.016666666666666666,0.04666666666666667,0.023333333333333334,0.4066666666666667,inf,0.04666666666666667
2.0,sub,1.5708,0.4,300,False,0.02,0.07333333333333333,0.0,0.20666666666666667,inf,0.07333333333333333
0.8,sub,0.5236,0.8,300,False,0.01,0.08,0.03,0.26,inf,0.08
2.0,sub,1.5708,0.8,300,False,0.01,0.07333333333333333,0.0,0.2,inf,0.07333333333333333
0.8,sub,0.5236,0.15,300,False,0.02,0.06666666666666667,0.043333333333333335,0.23666666666666666,inf,0.06666666666666667
0.8,sub,1.5708,1.6,300,False,0.03,0.14333333333333334,0.06666666666666667,0.38666666666666666,inf,0.14333333333333334
0.2,mixed,1.5708,0.4,300,False,1.0,0.02666666666666667,0.0033333333333333335,0.4766666666666667,inf,0.02666666666666667
2.0,mixed,0.5236,3.2,300,True,1.0,1.0,0.0033333333333333335,1.0,0.261,1.0
0.2,sub,1.5708,0.4,300,False,0.02,0.056666666666666664,0.023333333333333334,0.37666666666666665,inf,0.056666666666666664
0.8,sub,1.5708,0.4,300,False,0.02,0.08333333333333333,0.03333333333333333,0.2833333333333333,inf,0.08333333333333333
0.2,mixed,0.5236,0.4,300,True,1.0,0.85,0.0,0.9833333333333333,0.411,0.85
2.0,mixed,1.5708,3.2,300,False,1.0,0.016666666666666666,0.0033333333333333335,0.09666666666666666,inf,0.016666666666666666
0.2,mixed,0.5236,0.15,300,True,1.0,0.20666666666666667,0.0033333333333333335,0.7,0.411,0.20666666666666667
2.0,sub,1.5708,1.6,300,False,0.01,0.15,0.0033333333333333335,0.29,inf,0.15
2.0,mixed,1.5708,0.8,300,False,1.0,0.03333333333333333,0.0033333333333333335,0.19333333333333333,inf,0.03333333333333333
0.8,sub,0.5236,0.4,300,False,0.013333333333333334,0.06333333333333334,0.04666666666666667,0.2733333333333333,inf,0.06333333333333334
2.0,mixed,0.5236,0.15,300,True,1.0,0.6266666666666667,0.0033333333333333335,0.83,0.261,0.6266666666666667
0.8,sub,0.5236,3.2,300,False,0.013333333333333334,0.14666666666666667,0.07,0.4166666666666667,inf,0.14666666666666667
0.8,sub,1.5708,0.8,300,False,0.016666666666666666,0.10333333333333333,0.06333333333333334,0.32666666666666666,inf,0.10333333333333333
0.2,sub,1.5708,0.15,300,False,0.03666666666666667,0.056666666666666664,0.02666666666666667,0.4066666666666667,inf,0.056666666666666664
2.0,sub,0.5236,0.15,300,False,0.016666666666666666,0.02666666666666667,0.0033333333333333335,0.12666666666666668,inf,0.02666666666666667
0.8,sub,0.5236,1.6,300,False,0.023333333333333334,0.10333333333333333,0.08,0.35333333333333333,inf,0.10333333333333333
0.2,mixed,1.5708,0.15,300,False,1.0,0.043333333333333335,0.006666666666666667,0.46,inf,0.043333333333333335
0.2,mixed,1.5708,3.2,300,False,1.0,0.0,0.016666666666666666,0.25666666666666665,inf,0.0
2.0,mixed,1.5708,1.6,300,False,1.0,0.016666666666666666,0.0,0.13333333333333333,inf,0.016666666666666666
0.8,mixed,1.5708,0.15,300,False,1.0,0.02666666666666667,0.02666666666666667,0.31333333333333335,inf,0.02666666666666667
2.0,sub,1.5708,0.15,300,False,0.02,0.06666666666666667,0.0,0.19666666666666666,inf,0.06666666666666667
2.0,sub,0.5236,0.4,300,False,0.0033333333333333335,0.056666666666666664,0.0,0.18,inf,0.056666666666666664
0.2,sub,0.5236,0.15,300,False,0.01,0.05333333333333334,0.02,0.38,inf,0.05333333333333334
0.8,mixed,1.5708,0.8,300,False,1.0,0.02666666666666667,0.056666666666666664,0.26,inf,0.02666666666666667
0.8,mixed,0.5236,0.4,300,True,1.0,0.9933333333333333,0.023333333333333334,1.0,0.261,0.9933333333333333
0.2,mixed,0.5236,0.8,300,True,1.0,1.0,0.0,1.0,0.411,1.0
2.0,mixed,0.5236,0.8,300,True,1.0,1.0,0.0033333333333333335,1.0,0.261,1.0
0.8,mixed,1.5708,3.2,300,False,1.0,0.0033333333333333335,0.03666666666666667,0.17666666666666667,inf,0.0033333333333333335
0.8,mixed,0.5236,0.8,300,True,1.0,1.0,0.03,1.0,0.261,1.0
0.8,mixed,1.5708,0.4,300,False,1.0,0.056666666666666664,0.05333333333333334,0.2833333333333333,inf,0.056666666666666664
2.0,sub,0.5236,0.8,300,False,0.02,0.09666666666666666,0.01,0.25333333333333335,inf,0.09666666666666666
2.0,mixed,0.5236,1.6,300,True,1.0,1.0,0.0,1.0,0.261,1.0
0.8,sub,1.5708,0.15,300,False,0.0,0.016666666666666666,0.03666666666666667,0.22,inf,0.016666666666666666
0.2,mixed,0.5236,3.2,300,True,1.0,1.0,0.0,1.0,0.411,1.0
2.0,mixed,1.5708,0.15,300,False,1.0,0.056666666666666664,0.0033333333333333335,0.21333333333333335,inf,0.056666666666666664
0.2,mixed,1.5708,0.8,300,False,1.0,0.04,0.0033333333333333335,0.42333333333333334,inf,0.04
2.0,sub,1.5708,3.2,300,False,0.013333333333333334,0.23333333333333334,0.0,0.4,inf,0.23333333333333334
2.0,sub,0.5236,3.2,300,False,0.0,0.17333333333333334,0.0,0.3433333333333333,inf,0.17333333333333334
2.0,mixed,1.5708,0.4,300,False,1.0,0.03333333333333333,0.006666666666666667,0.21666666666666667,inf,0.03333333333333333
0.8,mixed,1.5708,1.6,300,False,1.0,0.01,0.04666666666666667,0.22,inf,0.01
2.0,mixed,0.5236,0.4,300,True,1.0,1.0,0.0,1.0,0.261,1.0
0.2,sub,0.5236,3.2,300,False,0.023333333333333334,0.08,0.03333333333333333,0.48333333333333334,inf,0.08
0.8,mixed,0.5236,1.6,300,True,1.0,1.0,0.006666666666666667,1.0,0.261,1.0
0.8,mixed,0.5236,3.2,300,True,1.0,1.0,0.0,1.0,0.261,1.0
0.2,mixed,1.5708,1.6,300,False,1.0,0.006666666666666667,0.013333333333333334,0.36666666666666664,inf,0.006666666666666667
0.2,sub,0.5236,1.6,300,False,0.02,0.07666666666666666,0.016666666666666666,0.43,inf,0.07666666666666666
0.2,mixed,0.5236,1.6,300,True,1.0,1.0,0.0,1.0,0.411,1.0
0.8,sub,1.5708,3.2,300,False,0.013333333333333334,0.16,0.08333333333333333,0.38,inf,0.16
2.0,sub,0.5236,1.6,300,False,0.01,0.15666666666666668,0.0033333333333333335,0.3233333333333333,inf,0.15666666666666668
0.2,sub,1.5708,3.2,300,False,0.01,0.07,0.016666666666666666,0.43666666666666665,inf,0.07
0.2,sub,1.5708,1.6,300,False,0.016666666666666666,0.11333333333333333,0.02666666666666667,0.4866666666666667,inf,0.11333333333333333
0.8,mixed,0.5236,0.15,300,True,1.0,0.3466666666666667,0.04666666666666667,0.7666666666666667,0.261,0.3466666666666667
0.2,sub,0.5236,0.4,300,False,0.016666666666666666,0.07666666666666666,0.016666666666666666,0.43333333333333335,inf,0.07666666666666666
