variant,profile,c,n,conf_kind,beta_kind,error_law,hetero_u,corr_factors,r_misspec,eb_over_best,eb_over_ols
V0_gauss,sub,0.2,2000,dense,dense,gaussian,False,False,0,4.981,0.811
V0_gauss,mixed,0.2,2000,dense,dense,gaussian,False,False,0,0.981,0.125
V0_gauss,sub,2.0,2000,dense,dense,gaussian,False,False,0,3.512,0.685
V0_gauss,mixed,2.0,2000,dense,dense,gaussian,False,False,0,1.001,0.189
V1_t5,sub,0.2,2000,dense,dense,t5,False,False,0,5.139,0.818
V1_t5,mixed,0.2,2000,dense,dense,t5,False,False,0,0.994,0.127
V1_t5,sub,2.0,2000,dense,dense,t5,False,False,0,3.477,0.673
V1_t5,mixed,2.0,2000,dense,dense,t5,False,False,0,1.004,0.188
V2_rademacher_half,sub,0.2,2000,dense,dense,gaussian,False,False,0,5.011,0.803
V2_rademacher_half,mixed,0.2,2000,dense,dense,gaussian,False,False,0,0.961,0.133
V2_rademacher_half,sub,2.0,2000,dense,dense,gaussian,False,False,0,3.357,0.666
V2_rademacher_half,mixed,2.0,2000,dense,dense,gaussian,False,False,0,1.011,0.19
V3_hetero_u,sub,0.2,2000,dense,dense,gaussian,True,False,0,6.115,0.942
V3_hetero_u,mixed,0.2,2000,dense,dense,gaussian,True,False,0,3.435,0.414
V3_hetero_u,sub,2.0,2000,dense,dense,gaussian,True,False,0,6.022,0.965
V3_hetero_u,mixed,2.0,2000,dense,dense,gaussian,True,False,0,4.498,0.755
V4_corr_f,sub,0.2,2000,dense,dense,gaussian,False,True,0,4.645,0.787
V4_corr_f,mixed,0.2,2000,dense,dense,gaussian,False,True,0,0.979,0.129
V4_corr_f,sub,2.0,2000,dense,dense,gaussian,False,True,0,3.106,0.624
V4_corr_f,mixed,2.0,2000,dense,dense,gaussian,False,True,0,1.001,0.192
V6_sparse_conf,sub,0.2,2000,sparse,dense,gaussian,False,False,0,4.877,0.838
V6_sparse_conf,mixed,0.2,2000,sparse,dense,gaussian,False,False,0,1.027,0.137
V6_sparse_conf,sub,2.0,2000,sparse,dense,gaussian,False,False,0,3.584,0.685
V6_sparse_conf,mixed,2.0,2000,sparse,dense,gaussian,False,False,0,0.998,0.191
V5_r-1,mixed,0.2,2000,dense,dense,gaussian,False,False,-1,0.94,0.196
V5_r-1,mixed,0.8,2000,dense,dense,gaussian,False,False,-1,2.026,0.366
V5_r+1,mixed,0.2,2000,dense,dense,gaussian,False,False,1,0.952,0.182
V5_r+1,mixed,0.8,2000,dense,dense,gaussian,False,False,1,2.018,0.362
